综合,#genre#
青海卫视,https://iptv807.com/?act=play&tid=ws&id=25
云南卫视,https://iptv807.com/?act=play&tid=ws&id=26
内蒙古卫视,https://iptv807.com/?act=play&tid=ws&id=27
山西卫视,https://iptv807.com/?act=play&tid=ws&id=28
陕西卫视,https://iptv807.com/?act=play&tid=ws&id=29
兵团卫视,https://iptv807.com/?act=play&tid=ws&id=30
新疆卫视,https://iptv807.com/?act=play&tid=ws&id=31
西藏卫视,https://iptv807.com/?act=play&tid=ws&id=32
宁夏卫视,https://iptv807.com/?act=play&tid=ws&id=33
延边卫视,https://iptv807.com/?act=play&tid=ws&id=34
康巴卫视,https://iptv807.com/?act=play&tid=ws&id=35
